txHash,nftName,slug,totalCost,price,floorAtLogging,contract,uniqueContractIdentifierID,image_url,transactionType
0xc296331d067ed984192e7c0912552517be44d0b49cd27b60595724690fdde77e,Flappy Boys#2097,flappyboys,0.10727,0.1,0.049,0x5f75b17a44625F8814FeA5b30FECd3d6aB510BB0,0x5f75b17a44625f8814fea5b30fecd3d6ab510bb0?a=2097,https://lh3.googleusercontent.com/CmH1kXgRDl0AzcZiYh2ThEqEWsqtp1JV6HKZ6oL75hf2HZ7UTHx7r_4x4xqk9zbZ78c2QKpkztFkEJMTS4ZTPSu70psE_ILmMXqKIA,transfer
0xeea0fb35f1d40453cb8b2d78515d69b5243e138841aa6047c2b53f091d464b75,The Association NFT#2591,the-association-nft,0.02969,0,0.023,0x9b8b9c7C02be0bD0AA4D669bF6a1f6003424c6Dc,0x9b8b9c7c02be0bd0aa4d669bf6a1f6003424c6dc?a=2591,https://lh3.googleusercontent.com/hNavTEJF89CJxtfHjBwlTvjAI5_AMpJVzXSaIbX_bI9ATPwzyKEla71_rGC_ZAUqO-gQMMnOjpLgmgsL_l2jKO-3rcPbb66M-IAw,mint
0x50c8c77028faa6cc7192e313ab79f78fb164e8113734356a618c24b486182441,BoredApeYachtClub#1846,boredapeyachtclub,1.7295200000000002,1.6,127.0,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d?a=1846,https://lh3.googleusercontent.com/4Kv7XFsmQeqS5qM8u9SMlmO-ED4aeAdLih4_E12-pdSWMWmuU_kxQ7kDWMvE_fgz-fnkpqyBXnRkL6C1X7BBdr7X9jpTi2KHdWRaIg,mint
